"_id","entity","user_id","date","request","action","operation","taskName","object_id","set_id","givDuration","givFreeTime","__v"
"56bbbc0871cd185b5d000041","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","checked","לשתות קפה","","A","","","0"
"56bbbc0871cd185b5d000042","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","checked","לצחצח שיניים","","A","","","0"
"56bbbc0871cd185b5d000043","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","checked","לאכול","","A","","","0"
"56bbbc0871cd185b5d000044","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbbf671cd185b5d00003e","updateTask","checked","להתלבש","","A","","","0"
"56bbbc0871cd185b5d000045","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbbff71cd185b5d00003f","updateTask","checked","להכין תיק","","A","","","0"
"56bbbc0871cd185b5d000046","user","ertest","Thu Feb 11 2016 01:39:04 GMT+0000 (UTC)","/tasks/56bbbc0571cd185b5d000040","updateTask","checked","לזרוק זבל","","A","","","0"
"56bbbc2971cd185b5d000047","user","ertest","Thu Feb 11 2016 01:39:37 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"56bbbc2971cd185b5d000048","user","ertest","Thu Feb 11 2016 01:39:37 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"56bbbc2971cd185b5d000049","user","ertest","Thu Feb 11 2016 01:39:37 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","09:00","01:00","0"
"56bbbc2a71cd185b5d00004a","user","ertest","Thu Feb 11 2016 01:39:38 GMT+0000 (UTC)","/tasks/56bbbbf671cd185b5d00003e","updateTask","updated","להתלבש","4","A","03:00","01:00","0"
"56bbbc2a71cd185b5d00004b","user","ertest","Thu Feb 11 2016 01:39:38 GMT+0000 (UTC)","/tasks/56bbbbff71cd185b5d00003f","updateTask","updated","להכין תיק","5","A","02:00","01:00","0"
"56bbbc2a71cd185b5d00004c","user","ertest","Thu Feb 11 2016 01:39:38 GMT+0000 (UTC)","/tasks/56bbbc0571cd185b5d000040","updateTask","updated","לזרוק זבל","6","A","02:00","01:00","0"
"56ca1ea4903ce55a5f00000e","user","ertest","Sun Feb 21 2016 23:31:32 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"56ca1ea5903ce55a5f00000f","user","ertest","Sun Feb 21 2016 23:31:33 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","01:00","01:00","0"
"56ca1ea5903ce55a5f000010","user","ertest","Sun Feb 21 2016 23:31:33 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","09:00","01:00","0"
"56ca1ea5903ce55a5f000011","user","ertest","Sun Feb 21 2016 23:31:33 GMT+0000 (UTC)","/tasks/56bbbbf671cd185b5d00003e","updateTask","updated","להתלבש","4","A","03:00","01:00","0"
"56ca1ea6903ce55a5f000012","user","ertest","Sun Feb 21 2016 23:31:34 GMT+0000 (UTC)","/tasks/56bbbbff71cd185b5d00003f","updateTask","updated","להכין תיק","5","A","02:00","01:00","0"
"56ca1ea6903ce55a5f000013","user","ertest","Sun Feb 21 2016 23:31:34 GMT+0000 (UTC)","/tasks/56bbbc0571cd185b5d000040","updateTask","updated","לזרוק זבל","6","A","02:00","01:00","0"
"56cb5156142f039839000034","user","ertest","Mon Feb 22 2016 21:20:06 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"56cb5156142f039839000035","user","ertest","Mon Feb 22 2016 21:20:06 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","03:30","01:00","0"
"56cb5157142f039839000036","user","ertest","Mon Feb 22 2016 21:20:07 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","03:00","01:00","0"
"56cb5157142f039839000037","user","ertest","Mon Feb 22 2016 21:20:07 GMT+0000 (UTC)","/tasks/56bbbbf671cd185b5d00003e","updateTask","updated","להתלבש","4","A","04:00","01:00","0"
"56cb5157142f039839000038","user","ertest","Mon Feb 22 2016 21:20:07 GMT+0000 (UTC)","/tasks/56bbbbff71cd185b5d00003f","updateTask","updated","להכין תיק","5","A","01:00","01:00","0"
"56cb5158142f039839000039","user","ertest","Mon Feb 22 2016 21:20:08 GMT+0000 (UTC)","/tasks/56bbbc0571cd185b5d000040","updateTask","updated","לזרוק זבל","6","A","00:30","01:00","0"
"56ccaccd4150418e3e000002","user","ertest","Tue Feb 23 2016 22:02:37 GMT+0000 (UTC)","/tasks/56bbbbd371cd185b5d00003b","updateTask","updated","לשתות קפה","1","A","02:00","01:00","0"
"56ccaccd4150418e3e000003","user","ertest","Tue Feb 23 2016 22:02:37 GMT+0000 (UTC)","/tasks/56bbbbd971cd185b5d00003c","updateTask","updated","לצחצח שיניים","2","A","03:30","01:00","0"
"56ccaccd4150418e3e000004","user","ertest","Tue Feb 23 2016 22:02:37 GMT+0000 (UTC)","/tasks/56bbbbed71cd185b5d00003d","updateTask","updated","לאכול","3","A","03:00","01:00","0"
